name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Nora Cornolle,Wonder,1989.12.06,8-1-0 (Win-Loss-Draw),$0 USD,"5'7"" (169cm)","67.0"" (170cm)",138.5 lbs,Bantamweight,"April 06, 2024"
Brennan Ward,Irish,1988.06.28,17-8-0 (Win-Loss-Draw),"$50,000 USD","5'10"" (178cm)","72.0"" (183cm)",170.6 lbs,Welterweight,"April 19, 2024"
Darren Elkins,The Damage,1984.05.16,28-11-0 (Win-Loss-Draw),"$528,000 USD","5'10"" (178cm)","71.0"" (180cm)",146.0 lbs,Featherweight,"October 14, 2023"
Mackenzie Lynne Dern,N/A,1993.03.24,13-5-0 (Win-Loss-Draw),"$366,000 USD","5'4"" (163cm)","63.0"" (160cm)",116.0 lbs,Strawweight,"February 17, 2024"
Christos Giagos,The Spartan,1990.01.23,20-12-0 (Win-Loss-Draw),"$153,000 USD","5'10"" (178cm)","71.5"" (182cm)",156.0 lbs,Lightweight,"April 06, 2024"
Kalinn Fidell Williams,The Oxfighter,1994.03.30,15-3-0 (Win-Loss-Draw),"$200,000 USD","6'0"" (183cm)","77.0"" (196cm)",170.0 lbs,Welterweight,"May 18, 2024"
Sumiko Inaba,Lady Samurai,1991.02.06,6-1-0 (Win-Loss-Draw),"$10,000 USD","5'4"" (163cm)","64.0"" (163cm)",125.2 lbs,Flyweight,"November 17, 2023"
Islam Mamedov,N/A,1989.02.10,23-3-1 (Win-Loss-Draw),"$83,000 USD","6'0"" (183cm)","73.0"" (185cm)",159.4 lbs,Lightweight,"November 17, 2023"
Ирина Алексеева,Russian Ronda,1990.06.27,5-2-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","66.0"" (168cm)",135.0 lbs,Bantamweight,"October 14, 2023"
Devin Terrell Clark,Brown Bear,1990.04.12,14-9-0 (Win-Loss-Draw),"$191,000 USD","6'0"" (183cm)","75.0"" (191cm)",204.5 lbs,Light Heavyweight,"February 10, 2024"
Joshua Alvin Culibao,Kuya,1994.05.24,11-3-1 (Win-Loss-Draw),$0 USD,"5'10"" (177cm)","73.0"" (185cm)",146.0 lbs,Featherweight,"March 16, 2024"
